GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,YEAR.id,GOVTAX.id,GOVTAX.display-label,AMOUNT
Geographic identifier code,Id2,Geographic area name,Id,Year,Tax Type,Meaning of Tax Type,"Amount ($1,000)"
0400000US01,01,Alabama,,2015,01121,Total Taxes,9755439
0400000US01,01,Alabama,,2015,011211,Property Taxes,336825
0400000US01,01,Alabama,,2015,011212,Sales and Gross Receipts Taxes,4936049
0400000US01,01,Alabama,,2015,0112121,General Sales and Gross Receipts Taxes,2463912
0400000US01,01,Alabama,,2015,0112122,Selective Sales and Gross Receipts Taxes,2472137
0400000US01,01,Alabama,,2015,01121221,Alcoholic Beverages Sales Tax,192490
0400000US01,01,Alabama,,2015,01121222,Amusements Sales Tax,18
0400000US01,01,Alabama,,2015,01121223,Insurance Premiums Sales Tax,312030
0400000US01,01,Alabama,,2015,01121224,Motor Fuels Sales Tax,560188
0400000US01,01,Alabama,,2015,01121225,Pari-mutuels Sales Tax,1514
0400000US01,01,Alabama,,2015,01121226,Public Utilities Sales Tax,734531
0400000US01,01,Alabama,,2015,01121227,Tobacco Products Sales Tax,116414
0400000US01,01,Alabama,,2015,01121229,Other Selective Sales and Gross Receipts Taxes,554952
0400000US01,01,Alabama,,2015,0112123,License Taxes,493883
0400000US01,01,Alabama,,2015,01121231,Alcoholic Beverages License,4217
0400000US01,01,Alabama,,2015,01121232,Amusements License,0
0400000US01,01,Alabama,,2015,01121233,Corporations in General License,156398
0400000US01,01,Alabama,,2015,01121234,Hunting and Fishing License,22443
0400000US01,01,Alabama,,2015,01121235,Motor Vehicle License,211144
0400000US01,01,Alabama,,2015,01121236,Motor Vehicle Operators License,26342
0400000US01,01,Alabama,,2015,01121237,Public Utilities License,14670
0400000US01,01,Alabama,,2015,01121238,"Occupation and Business License, NEC",58668
0400000US01,01,Alabama,,2015,01121239,Other License Taxes,1
0400000US01,01,Alabama,,2015,0112124,Income Taxes,3870173
0400000US01,01,Alabama,,2015,01121241,Individual Income Taxes,3336587
0400000US01,01,Alabama,,2015,01121242,Corporations Net Income Taxes,533586
0400000US01,01,Alabama,,2015,0112125,Other Taxes,118509
0400000US01,01,Alabama,,2015,0112126,Death and Gift Taxes,0
0400000US01,01,Alabama,,2015,0112127,Documentarty and Stock Transfer Taxes,39274
0400000US01,01,Alabama,,2015,0112128,Severance Taxes,79235
0400000US01,01,Alabama,,2015,0112129,"Taxes, NEC",0
0400000US02,02,Alaska,,2015,01121,Total Taxes,863723
0400000US02,02,Alaska,,2015,011211,Property Taxes,127821
0400000US02,02,Alaska,,2015,011212,Sales and Gross Receipts Taxes,255971
0400000US02,02,Alaska,,2015,0112121,General Sales and Gross Receipts Taxes,
0400000US02,02,Alaska,,2015,0112122,Selective Sales and Gross Receipts Taxes,255971
0400000US02,02,Alaska,,2015,01121221,Alcoholic Beverages Sales Tax,39836
0400000US02,02,Alaska,,2015,01121222,Amusements Sales Tax,9144
